"name","position","journey_pattern","from","to","time","view_path_coordinates"
"Route 340 Inbound Sunday & Holidays B_2",2,"Route 340 Inbound Sunday & Holidays B",13,15,5,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1325620682958\n  - 43.0393718824067\n"""
"Route 340 Inbound Sunday & Holidays B_3",3,"Route 340 Inbound Sunday & Holidays B",15,16,10,"""--- \nLonLat: \n- - -76.1325620682958\n  - 43.0393718824067\n- - -76.13008\n  - 43.03935\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.13665\n  - 43.03976\n- - -76.13658\n  - 43.04022\n- - -76.1367\n  - 43.04045\n- - -76.1366\n  - 43.0442\n- - -76.1366\n  - 43.0442\n- - -76.1391357699184\n  - 43.044244054271\n"""
"Route 340 Inbound Sunday & Holidays B_4",4,"Route 340 Inbound Sunday & Holidays B",16,17,4,"""--- \nLonLat: \n- - -76.1391357699184\n  - 43.044244054271\n- - -76.14006\n  - 43.04426\n- - -76.14174\n  - 43.04438\n- - -76.14288\n  - 43.04438\n- - -76.14359\n  - 43.0443\n- - -76.14416\n  - 43.04428\n- - -76.147508508161\n  - 43.0454580356056\n"""
"Route 340 Inbound Sunday & Holidays B_5",5,"Route 340 Inbound Sunday & Holidays B",17,18,8,"""--- \nLonLat: \n- - -76.147508508161\n  - 43.0454580356056\n- - -76.14752\n  - 43.04429\n- - -76.14752\n  - 43.04429\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.15223\n  - 43.04868\n"""
"Route 340 Inbound Sunday & Holidays C_1",1,"Route 340 Inbound Sunday & Holidays C",12,13,8,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1316072538829\n  - 43.039353215814\n"""
"Route 340 Inbound Sunday & Holidays C_2",2,"Route 340 Inbound Sunday & Holidays C",13,15,5,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1325620682958\n  - 43.0393718824067\n"""
"Route 340 Inbound Sunday & Holidays C_3",3,"Route 340 Inbound Sunday & Holidays C",15,16,10,"""--- \nLonLat: \n- - -76.1325620682958\n  - 43.0393718824067\n- - -76.13008\n  - 43.03935\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.13665\n  - 43.03976\n- - -76.13658\n  - 43.04022\n- - -76.1367\n  - 43.04045\n- - -76.1366\n  - 43.0442\n- - -76.1366\n  - 43.0442\n- - -76.1391357699184\n  - 43.044244054271\n"""
"Route 340 Inbound Sunday & Holidays C_4",4,"Route 340 Inbound Sunday & Holidays C",16,17,4,"""--- \nLonLat: \n- - -76.1391357699184\n  - 43.044244054271\n- - -76.14006\n  - 43.04426\n- - -76.14174\n  - 43.04438\n- - -76.14288\n  - 43.04438\n- - -76.14359\n  - 43.0443\n- - -76.14416\n  - 43.04428\n- - -76.147508508161\n  - 43.0454580356056\n"""
"Route 340 Inbound Sunday & Holidays C_5",5,"Route 340 Inbound Sunday & Holidays C",17,18,5,"""--- \nLonLat: \n- - -76.147508508161\n  - 43.0454580356056\n- - -76.14752\n  - 43.04429\n- - -76.14752\n  - 43.04429\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.15223\n  - 43.04868\n"""
"Route 340 Outbound Weekday Note 1_1",1,"Route 340 Outbound Weekday Note 1",18,17,3,"""--- \nLonLat: \n- - -76.15223\n  - 43.04868\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.14754\n  - 43.04274\n"""
